Daily Rainfall Total (mm),Datetime,category
442.49999999999994,2013-11-04,2
868.0000000000001,2013-11-05,3
15.2,2013-11-06,0
0.0,2013-11-07,0
69.10000000000002,2013-11-08,1
328.0,2013-11-09,2
123.9,2013-11-10,1
338.9,2013-11-11,2
91.70000000000002,2013-11-12,1
718.1,2013-11-13,3
34.800000000000004,2013-11-14,0
82.3,2013-11-15,1
140.6,2013-11-16,1
8.600000000000001,2013-11-17,0
41.3,2013-11-18,0
126.29999999999998,2013-11-19,1
110.89999999999999,2013-11-20,1
75.60000000000001,2013-11-21,1
636.2,2013-11-22,3
37.10000000000001,2013-11-23,0
118.49999999999997,2013-11-24,1
322.1,2013-11-25,2
73.10000000000001,2013-11-26,1
153.50000000000003,2013-11-27,1
49.0,2013-11-28,0
340.99999999999994,2013-11-29,2
729.2,2013-11-30,3
415.3,2013-12-01,2
158.0,2013-12-02,1
943.6000000000001,2013-12-03,3
31.7,2013-12-04,0
27.0,2013-12-05,0
319.8,2013-12-06,2
0.0,2013-12-07,0
483.0,2013-12-08,2
2.8000000000000003,2013-12-09,0
68.4,2013-12-10,1
185.49999999999997,2013-12-11,1
125.60000000000001,2013-12-12,1
67.0,2013-12-13,1
228.3,2013-12-14,2
263.8,2013-12-15,2
0.2,2013-12-16,0
0.30000000000000004,2013-12-17,0
1137.2,2013-12-18,3
11.3,2013-12-19,0
236.99999999999997,2013-12-20,2
0.7000000000000001,2013-12-21,0
6.7,2013-12-22,0
24.5,2013-12-23,0
6.5,2013-12-24,0
4.6,2013-12-25,0
159.2,2013-12-26,1
43.50000000000001,2013-12-27,0
32.900000000000006,2013-12-28,0
2.2,2013-12-29,0
64.7,2013-12-30,1
36.4,2013-12-31,0
1.4,2014-01-01,0
0.6000000000000001,2014-01-02,0
65.5,2014-01-03,1
218.6,2014-01-04,2
127.09999999999998,2014-01-05,1
740.5999999999999,2014-01-06,3
56.099999999999994,2014-01-07,1
0.0,2014-01-08,0
76.2,2014-01-09,1
23.200000000000003,2014-01-10,0
105.39999999999999,2014-01-11,1
63.1,2014-01-12,1
0.0,2014-01-13,0
0.6,2014-01-14,0
1.4,2014-01-15,0
0.0,2014-01-16,0
0.0,2014-01-17,0
0.0,2014-01-18,0
0.0,2014-01-19,0
0.0,2014-01-20,0
0.0,2014-01-21,0
0.0,2014-01-22,0
0.0,2014-01-23,0
0.0,2014-01-24,0
0.0,2014-01-25,0
0.0,2014-01-26,0
0.0,2014-01-27,0
0.0,2014-01-28,0
0.0,2014-01-29,0
0.0,2014-01-30,0
0.0,2014-01-31,0
0.0,2014-02-01,0
0.0,2014-02-02,0
0.0,2014-02-03,0
0.0,2014-02-04,0
0.0,2014-02-05,0
0.0,2014-02-06,0
0.0,2014-02-07,0
170.3,2014-02-08,1
16.1,2014-02-09,0
0.2,2014-02-10,0
0.0,2014-02-11,0
2.6,2014-02-12,0
0.4,2014-02-13,0
53.99999999999999,2014-02-14,1
0.0,2014-02-15,0
62.7,2014-02-16,1
0.4,2014-02-17,0
3.6,2014-02-18,0
0.0,2014-02-19,0
0.0,2014-02-20,0
0.0,2014-02-21,0
0.0,2014-02-22,0
0.0,2014-02-23,0
0.0,2014-02-24,0
0.0,2014-02-25,0
0.0,2014-02-26,0
0.0,2014-02-27,0
0.0,2014-02-28,0
6.2,2014-03-01,0
0.0,2014-03-02,0
3.2,2014-03-03,0
0.0,2014-03-04,0
0.0,2014-03-05,0
0.0,2014-03-06,0
0.0,2014-03-07,0
1.5,2014-03-08,0
0.0,2014-03-09,0
0.0,2014-03-10,0
0.0,2014-03-11,0
0.0,2014-03-12,0
0.0,2014-03-13,0
0.0,2014-03-14,0
5.5,2014-03-15,0
637.5,2014-03-16,3
423.7,2014-03-17,2
530.1,2014-03-18,3
206.0,2014-03-19,2
486.6,2014-03-20,2
95.99999999999999,2014-03-21,1
0.2,2014-03-22,0
0.0,2014-03-23,0
0.0,2014-03-24,0
0.0,2014-03-25,0
1.6,2014-03-26,0
1.0,2014-03-27,0
3.1,2014-03-28,0
148.59999999999997,2014-03-29,1
26.400000000000002,2014-03-30,0
41.0,2014-03-31,0
64.19999999999999,2014-04-01,1
0.6000000000000001,2014-04-02,0
3.3000000000000003,2014-04-03,0
191.1,2014-04-04,1
626.4999999999999,2014-04-05,3
6.5,2014-04-06,0
16.4,2014-04-07,0
109.9,2014-04-08,1
50.49999999999999,2014-04-09,1
76.6,2014-04-10,1
176.70000000000002,2014-04-11,1
76.80000000000001,2014-04-12,1
77.6,2014-04-13,1
547.9,2014-04-14,3
59.400000000000006,2014-04-15,1
47.2,2014-04-16,0
320.80000000000007,2014-04-17,2
288.99999999999994,2014-04-18,2
0.4,2014-04-19,0
24.900000000000002,2014-04-20,0
104.50000000000001,2014-04-21,1
59.50000000000001,2014-04-22,1
263.2,2014-04-23,2
170.79999999999998,2014-04-24,1
82.10000000000001,2014-04-25,1
122.89999999999999,2014-04-26,1
105.10000000000001,2014-04-27,1
255.2,2014-04-28,2
151.5,2014-04-29,1
91.5,2014-04-30,1
73.1,2014-05-01,1
25.5,2014-05-02,0
93.4,2014-05-03,1
153.20000000000002,2014-05-04,1
53.6,2014-05-05,1
50.50000000000001,2014-05-06,1
516.9000000000001,2014-05-07,3
180.2,2014-05-08,1
73.60000000000001,2014-05-09,1
1.1,2014-05-10,0
127.19999999999999,2014-05-11,1
52.79999999999999,2014-05-12,1
0.0,2014-05-13,0
297.59999999999997,2014-05-14,2
35.7,2014-05-15,0
463.90000000000003,2014-05-16,2
175.9,2014-05-17,1
796.6999999999999,2014-05-18,3
402.90000000000003,2014-05-19,2
127.9,2014-05-20,1
180.6,2014-05-21,1
3.8000000000000007,2014-05-22,0
250.6,2014-05-23,2
0.2,2014-05-24,0
3.5,2014-05-25,0
104.5,2014-05-26,1
21.9,2014-05-27,0
97.2,2014-05-28,1
64.7,2014-05-29,1
310.50000000000006,2014-05-30,2
14.099999999999998,2014-05-31,0
314.20000000000005,2014-06-01,2
40.79999999999999,2014-06-02,0
10.0,2014-06-03,0
200.6,2014-06-04,2
276.6,2014-06-05,2
435.1,2014-06-06,2
32.0,2014-06-07,0
6.1,2014-06-08,0
1.1,2014-06-09,0
